target_name,targets,EPA,EPA_per_target,success,success_rate,explosive,explosive_rate,explosive_epa_per_target,non_explosive_epa_per_target,catches,yards
Tai Felton,156,56.712,0.3635,82,0.5256,54,0.3462,2.2832,-0.6528,98,1142
Jayden Higgins,145,82.241,0.5672,89,0.6138,69,0.4759,2.1254,-0.8475,92,1248
Brennan Presley,143,11.707,0.0819,72,0.5035,45,0.3147,1.8994,-0.7527,95,792
Tyler Warren,141,57.563,0.4082,84,0.5957,53,0.3759,1.9191,-0.5017,106,1246
Tetairoa McMillan,138,75.436,0.5466,79,0.5725,62,0.4493,2.2872,-0.8733,86,1327
Josh Kelly,129,37.414,0.29,70,0.5426,43,0.3333,2.2098,-0.6698,93,1063
Jaylin Noel,128,36.557,0.2856,67,0.5234,47,0.3672,2.2256,-0.8401,82,1240
Travis Hunter,128,101.457,0.7926,77,0.6016,58,0.4531,2.3847,-0.5265,96,1258
Jackson Meeks,122,74.624,0.6117,80,0.6557,54,0.4426,2.0159,-0.5035,77,1020
Daniel Jackson,122,31.241,0.2561,66,0.541,43,0.3525,1.8204,-0.5954,76,863
Jordyn Tyson,121,51.029,0.4217,69,0.5702,48,0.3967,2.254,-0.7831,76,1104
Andrew Armstrong,121,44.548,0.3682,72,0.595,53,0.438,1.9935,-0.8987,79,1149
Elic Ayomanor,118,31.099,0.2636,61,0.5169,43,0.3644,2.1514,-0.8188,64,862
Trebor Pena,117,53.473,0.457,69,0.5897,43,0.3675,2.0817,-0.487,91,1054
Kyren Lacy,115,54.465,0.4736,63,0.5478,47,0.4087,2.2294,-0.7399,60,897
Dymere Miller,113,15.274,0.1352,57,0.5044,41,0.3628,1.9524,-0.8997,60,758
Jeremiah Smith,113,84.719,0.7497,70,0.6195,50,0.4425,2.5724,-0.6968,79,1336
Kevin Coleman Jr.,111,58.18,0.5241,65,0.5856,41,0.3694,2.34,-0.5394,77,945
Emeka Egbuka,111,51.573,0.4646,70,0.6306,45,0.4054,2.1245,-0.6671,83,1030
Jordan Moore,109,29.433,0.27,53,0.4862,41,0.3761,2.3261,-0.9696,56,879
A.J. Henning,108,-18.522,-0.1715,44,0.4074,24,0.2222,2.2138,-0.853,61,614
Oronde Gadsden II,107,54.116,0.5058,63,0.5888,44,0.4112,2.2235,-0.6939,76,997
Tez Johnson,105,51.427,0.4898,61,0.581,45,0.4286,2.0556,-0.6846,83,905
Denzel Boston,104,29.535,0.284,61,0.5865,42,0.4038,1.9701,-0.8582,64,837
Giles Jackson,104,33.095,0.3182,53,0.5096,32,0.3077,2.1428,-0.4927,86,900
Xavier Restrepo,104,48.572,0.467,59,0.5673,44,0.4231,2.5324,-1.0476,75,1216
Antonio Williams,103,62.944,0.6111,59,0.5728,42,0.4078,2.3459,-0.5833,76,919
Caleb Douglas,103,37.31,0.3622,57,0.5534,38,0.3689,2.0862,-0.6456,60,906
Zakhari Franklin,102,32.61,0.3197,55,0.5392,41,0.402,2.0522,-0.8448,57,672
Ja'Corey Brooks,102,63.449,0.622,57,0.5588,45,0.4412,2.4451,-0.8172,62,1052
Malachi Fields,102,27.15,0.2662,52,0.5098,34,0.3333,2.2715,-0.7365,57,829
Xzavier Henderson,101,27.41,0.2714,51,0.505,35,0.3465,1.915,-0.6002,58,738
LaJohntay Wester,98,68.847,0.7025,63,0.6429,44,0.449,2.2715,-0.5759,76,936
Dane Key,98,6.262,0.0639,45,0.4592,36,0.3673,2.2725,-1.2185,49,773
Dorian Singer,98,20.321,0.2074,46,0.4694,33,0.3367,2.0995,-0.7533,53,698
De'Zhaun Stribling,97,26.461,0.2728,52,0.5361,39,0.4021,2.1565,-0.9938,54,919
Eli Pancol,97,31.911,0.329,52,0.5361,35,0.3608,2.1806,-0.7163,61,803
Dominic Lovett,96,1.567,0.0163,44,0.4583,32,0.3333,1.937,-0.944,61,634
KC Concepcion,96,-20.139,-0.2098,44,0.4583,25,0.2604,2.0796,-1.0159,55,491
Jack Bech,96,72.656,0.7568,59,0.6146,43,0.4479,2.3366,-0.5249,64,1031
Lewis Bond,95,35.745,0.3763,48,0.5053,35,0.3684,2.2542,-0.7192,67,690
Eric Singleton Jr.,95,11.177,0.1177,46,0.4842,30,0.3158,2.259,-0.8707,57,760
Theo Wease Jr.,92,56.998,0.6195,57,0.6196,41,0.4457,2.1365,-0.6,60,884
Kobe Hudson,92,5.012,0.0545,41,0.4457,30,0.3261,2.1062,-0.9383,48,807
Taylor Morin,92,19.353,0.2104,50,0.5435,29,0.3152,2.2433,-0.7254,66,781
Ryan Coleman-Williams,92,17.434,0.1895,42,0.4565,27,0.2935,2.787,-0.8894,48,865
Aaron Anderson,91,39.85,0.4379,52,0.5714,33,0.3626,2.3585,-0.6548,61,874
Matthew Golden,91,63.642,0.6994,54,0.5934,40,0.4396,2.5339,-0.7395,59,990
Darius Lassiter,91,19.543,0.2148,42,0.4615,33,0.3626,2.1712,-0.8984,47,713
Kaden Prather,91,5.456,0.06,46,0.5055,26,0.2857,1.9613,-0.7006,57,612
Isaiah Horton,90,33.526,0.3725,51,0.5667,33,0.3667,1.9081,-0.5165,61,706
Savion Williams,90,40.93,0.4548,49,0.5444,32,0.3556,2.1703,-0.4917,62,648
