target_name,targets,EPA,EPA_per_target,success,success_rate,explosive,explosive_rate,explosive_epa_per_target,non_explosive_epa_per_target,catches,yards,position,origin,destination
Trebor Pena,117,53.473,0.457,69,0.5897,43,0.3675,2.0817,-0.487,91,1054,WR,Syracuse,Penn State
Kevin Coleman Jr.,111,58.18,0.5241,65,0.5856,41,0.3694,2.34,-0.5394,77,945,WR,Mississippi State,Missouri
Malachi Fields,102,27.15,0.2662,52,0.5098,34,0.3333,2.2715,-0.7365,57,829,WR,Virginia,Notre Dame
Dane Key,98,6.262,0.0639,45,0.4592,36,0.3673,2.2725,-1.2185,49,773,WR,Kentucky,Nebraska
De'Zhaun Stribling,97,26.461,0.2728,52,0.5361,39,0.4021,2.1565,-0.9938,54,919,WR,Oklahoma State,Ole Miss
KC Concepcion,96,-20.139,-0.2098,44,0.4583,25,0.2604,2.0796,-1.0159,55,491,WR,NC State,Texas A&M
Eric Singleton Jr.,95,11.177,0.1177,46,0.4842,30,0.3158,2.259,-0.8707,57,760,WR,Georgia Tech,Auburn
Isaiah Horton,90,33.526,0.3725,51,0.5667,33,0.3667,1.9081,-0.5165,61,706,WR,Miami,Alabama
Hudson Clement,85,50.385,0.5928,51,0.6,35,0.4118,2.3817,-0.6595,52,792,WR,West Virginia,Illinois
Harrison Wallace III,82,40.096,0.489,46,0.561,36,0.439,2.3004,-0.9287,47,739,WR,Penn State,Ole Miss
Horatio Fields,79,-9.155,-0.1159,37,0.4684,21,0.2658,1.9649,-0.8693,44,581,WR,Wake Forest,Auburn
Will Pauling,78,-6.422,-0.0823,35,0.4487,21,0.2692,1.8345,-0.7885,43,423,WR,Wisconsin,Notre Dame
Max Klare,77,20.278,0.2634,40,0.5195,34,0.4416,2.2078,-1.2741,54,728,TE,Purdue,Ohio State
Noah Thomas,77,17.066,0.2216,36,0.4675,25,0.3247,2.2178,-0.7381,39,574,WR,Texas A&M,Georgia
Zachariah Branch,76,-16.008,-0.2106,36,0.4737,22,0.2895,1.8581,-1.0535,48,505,WR,USC,Georgia
Emmett Mosley V,75,11.061,0.1475,37,0.4933,25,0.3333,2.162,-0.8598,50,541,WR,Stanford,Texas
Tony Johnson,70,23.514,0.3359,38,0.5429,29,0.4143,1.8627,-0.744,48,448,WR,Cincinnati,Miami
Nyziah Hunter,66,43.959,0.666,42,0.6364,32,0.4848,1.9493,-0.5417,43,589,WR,California,Nebraska
Deuce Alexander,66,14.414,0.2184,34,0.5152,23,0.3485,1.8634,-0.6615,36,400,WR,Wake Forest,Ole Miss
Kyron Hudson,65,1.124,0.0173,33,0.5077,24,0.3692,1.9345,-1.105,39,464,WR,USC,Penn State
Jack Endries,65,61.706,0.9493,50,0.7692,32,0.4923,2.0558,-0.1236,59,641,TE,California,Texas
CJ Daniels,61,28.158,0.4616,37,0.6066,24,0.3934,2.1205,-0.6144,44,500,WR,LSU,Miami
Mikey Matthews,60,-9.162,-0.1527,26,0.4333,17,0.2833,1.7595,-0.9087,36,307,WR,California,UCLA
