target_name,position,destination,targets,EPA,EPA_per_target,success,success_rate,explosive,explosive_rate,explosive_epa_per_target,non_explosive_epa_per_target,catches,yards
Jonathan Brady,WR,Indiana,17,16.555,0.9738,13,0.7647,10,0.5882,1.8519,-0.2806,15,116
Landen King,TE,Duke,20,18.619,0.9309,15,0.75,12,0.6,2.1525,-0.9014,15,203
Rohan Jones,TE,Arkansas,28,35.998,1.2856,21,0.75,21,0.75,2.3121,-1.7939,23,556
Riley Nowakowski,TE,Indiana,38,24.367,0.6412,28,0.7368,13,0.3421,2.2119,-0.1755,34,401
Jamari Johnson,TE,Oregon,43,38.388,0.8927,28,0.6512,20,0.4651,2.6325,-0.62,34,529
De'Zhaun Stribling,WR,Ole Miss,78,57.257,0.7341,50,0.641,34,0.4359,2.2271,-0.4196,56,818
Cameron Barmore,WR,Arizona,25,13.346,0.5338,16,0.64,8,0.32,2.154,-0.2286,19,189
Sam Phillips,WR,Iowa,25,14.862,0.5945,16,0.64,13,0.52,1.7885,-0.699,16,261
Nate Boerkircher,TE,Texas A&M,22,13.623,0.6192,14,0.6364,9,0.4091,2.0007,-0.3372,19,198
Max Klare,TE,Ohio State,57,4.819,0.0845,36,0.6316,19,0.3333,1.7257,-0.736,43,448
Isaiah Horton,WR,Alabama,62,41.773,0.6738,39,0.629,28,0.4516,2.4038,-0.751,43,530
Quaron Adams,WR,California,24,18.578,0.7741,15,0.625,10,0.4167,1.9309,-0.0522,20,273
Carsen Ryan,TE,BYU,60,17.13,0.2855,37,0.6167,20,0.3333,1.9388,-0.5412,46,629
Malik Benson,WR,Oregon,65,46.305,0.7124,40,0.6154,30,0.4615,2.3094,-0.6565,43,719
Nyziah Hunter,WR,Nebraska,68,28.423,0.418,41,0.6029,23,0.3382,1.9513,-0.3657,43,617
Devonte Ross,WR,Penn State,55,41.92,0.7622,33,0.6,26,0.4727,2.3804,-0.6887,36,501
Xavier Townsend,WR,Iowa State,25,20.129,0.8052,15,0.6,12,0.48,2.2908,-0.5662,18,243
Brenen Thompson,WR,Mississippi State,91,76.222,0.8376,54,0.5934,42,0.4615,2.6041,-0.6765,58,1061
Amare Thomas,WR,Houston,105,44.193,0.4209,62,0.5905,48,0.4571,2.3456,-1.1999,68,964
Griffin Wilde,WR,Northwestern,117,43.369,0.3707,69,0.5897,43,0.3675,2.1438,-0.6596,72,890
Kris Hutson,WR,Arizona,102,54.635,0.5356,60,0.5882,46,0.451,2.0336,-0.6948,60,764
Marcus Burke,WR,UCF,17,10.14,0.5965,10,0.5882,7,0.4118,2.2241,-0.5429,9,121
Joseph Manjack IV,WR,TCU,63,40.799,0.6476,37,0.5873,27,0.4286,2.1489,-0.4783,45,582
O'Mega Blake,WR,Arkansas,92,18.042,0.1961,54,0.587,38,0.413,2.0489,-1.1077,60,800
Noah Thomas,WR,Georgia,31,25.327,0.817,18,0.5806,12,0.3871,2.8508,-0.4675,17,272
