,fullName,position,origin,destination
2,Isaiah Rogers,DL,Monmouth,Cincinnati
3,Austin Collins,IOL,Louisville,Syracuse
8,Sam Neely III,CB,Wake Forest,Stanford
10,Justus Boone,EDGE,Florida,Arkansas
18,Brody Richter,P,UCLA,Minnesota
31,Dekel Crowdus,WR,Hawai'i,Wisconsin
36,Donavon Platt,CB,Army,Virginia
37,Kendrick Gilbert,DL,Kentucky,Louisville
44,Roy Alexander,WR,Incarnate Word,Texas Tech
49,Jakobe Thomas,S,Tennessee,Miami
51,An'Darius Coffey,S,Northwestern,Purdue
53,Bryce Duke,RB,Old Dominion,Utah
57,Syeed Gibbs,CB,Georgia Tech,Kansas
59,Connor Calvert,K,Washington State,Wake Forest
61,Jahkai Lang,EDGE,Missouri,SMU
64,Michael Short,LB,North Carolina,Virginia Tech
67,Joseph Mupoyi,EDGE,Penn State,North Carolina
70,Jeffson Lafontant,DL,Bethune-Cookman,UCF
72,Emmett Morehead,QB,Old Dominion,Minnesota
87,Keionte Scott,CB,Houston,Miami
90,Keyan Burnett,TE,Kansas,Arizona
93,Harrison Taggart,LB,BYU,California
95,Garret Rangel,QB,Oklahoma State,Virginia Tech
96,Orion Irving,OT,Sam Houston,Vanderbilt
97,Da'Marcus Crosby,S,New Mexico State,Virginia
99,Luke Dunne,P,Oregon,Washington
101,Will Karoll,P,Tulane,UCLA
102,Stephen Daley,EDGE,Kent State,Indiana
108,Kendrick Raphael,RB,NC State,California
109,Talan Chandler,IOL,Missouri,Northwestern
110,Andrew Simpson,LB,Boise State,North Carolina
118,Nathan Knapik,OT,Idaho,Illinois
120,Eddie Kelly Jr.,DL,Missouri,West Virginia
129,Tayvion Beasley,S,San Diego State,BYU
137,Corey Smith,WR,Tulsa,Purdue
139,Waltclaire Flynn Jr.,IOL,UCF,Georgia
144,Darius Thomas,LB,Louisville,Oklahoma State
145,Bob Schick,IOL,Virginia Tech,Oklahoma State
150,Jarod Bowie,WR,Jacksonville State,West Virginia
153,Joseph Reddish,CB,Wingate,Virginia Tech
155,Jaidyn Doss,WR,Nebraska,Kansas
160,Moshood Giwa,OT,LIU Post,Rutgers
161,Gannon Burt,LS,Florida,North Carolina
163,Jacob Stewart,TE,San José State,Louisville
169,Davis Heinzen,IOL,Central Michigan,Wisconsin
170,Larry Simmons,WR,Southern Miss,Utah
174,Andy Jean,WR,Pittsburgh,Arkansas
182,Kavir Bains-Marquez,S,UC Davis,Pittsburgh
184,Tyler Onyedim,DL,Iowa State,Texas A&M
187,Braedyn Locke,QB,Wisconsin,Arizona
193,Adonis Friloux,DL,Tulane,Baylor
194,Siolaa Lolohea,DL,Utah State,Oklahoma
200,Leroy Harris III,EDGE,Chattanooga,Kansas
202,Ja'Maric Morris,CB,Georgia State,Virginia
203,Shahid Barros,CB,South Dakota,Iowa
206,Morrow Evans,LS,Ohio State,UCLA
207,Jayden Dixon-Veal,WR,Purdue,California
208,Eli Coenen,DL,Bemidji State,Illinois
214,Bear Bachmeier,QB,Stanford,BYU
228,Grant Mills,LS,North Carolina,Ohio State
233,Elhadj Fall,DL,Georgia Southern,Virginia Tech
239,Dane Pardridge,WR,Northern Illinois,Rutgers
240,Rayshawn Pleasant,CB,Tulane,Auburn
244,Johntay Cook,WR,Washington,Syracuse
245,Mark Hamper,WR,Wisconsin,California
249,Justin Cesaire,OT,New Haven,Rutgers
251,Antwone Santiago,LB,Temple,Virginia Tech
261,David Chapeau,P,Central Michigan,Louisville
263,Justin Smith-Brown,WR,South Carolina State,West Virginia
264,Josh Aisosa,IOL,Oklahoma,West Virginia
269,Walker Andersen,OT,UCLA,Colorado
275,Jonathan Agumadu,LB,Oklahoma State,North Carolina
276,Dilan Battle,DL,LSU,Utah
277,Jackson Courville,K,Ball State,Ohio State
279,Kellan Wyatt,EDGE,Maryland,Indiana
280,Connor Cameron,OT,Arizona State,Baylor
282,Tracy Revels,S,Bowling Green,Michigan State
286,Jarvis Boatwright Jr.,S,USC,Florida State
291,Boden Groen,TE,Rice,Kansas
296,Harold Stubbs IV,S,Florida State,Florida
297,Kam Pringle,IOL,South Carolina,Syracuse
298,John Nestor,CB,Iowa,Minnesota
299,Micah Hudson,WR,Texas A&M,Texas Tech
