,season,firstName,lastName,position,origin,destination,transferDate,eligibility,rating,stars
0,2025,Josiah,Harris,CB,Campbellsville,Gardner-Webb,2025-05-01 05:00:00+00:00,Immediate,,
1,2025,MJ,Moultrie II,S,Stephen F. Austin,Hampton,2025-04-29 05:00:00+00:00,Immediate,,
2,2025,Isaiah,Rogers,DL,Monmouth,Cincinnati,2025-04-23 01:29:00+00:00,Immediate,0.84,3.0
3,2025,Austin,Collins,IOL,Louisville,Syracuse,2025-04-19 21:19:00+00:00,Immediate,0.86,3.0
4,2025,Daniel,Ogundipe,OT,Florida International,Albany,2025-05-08 13:00:00+00:00,Immediate,,3.0
5,2025,Keon,Hardin,IOL,Chattanooga,,2025-05-20 16:14:00+00:00,Immediate,,
6,2025,Simon,Mapa,TE,California,New Mexico,2025-05-11 04:31:00+00:00,Immediate,0.82,3.0
7,2025,Mason,Starling,WR,California,San José State,2025-04-27 05:00:00+00:00,Immediate,0.84,3.0
8,2025,Sam,Neely III,CB,Wake Forest,Stanford,2025-04-23 17:03:00+00:00,Immediate,0.85,3.0
9,2025,Kheagian,Heckaman,TE,Tennessee State,Prairie View A&M,2025-04-18 03:29:00+00:00,Immediate,,
10,2025,Justus,Boone,EDGE,Florida,Arkansas,2024-12-21 18:15:00+00:00,Immediate,0.87,3.0
11,2025,Eli,Wallace,EDGE,Sam Houston,,2025-05-10 18:52:19+00:00,Withdrawn,,
12,2025,Bryce,Dixon,DL,Liberty,,2025-05-26 05:26:39+00:00,Withdrawn,,3.0
13,2025,Matthew,Bess,CB,Iowa State,Houston Christian,2025-04-24 15:37:00+00:00,Immediate,,2.0
14,2025,Aiden,Knapke,S,Washington State,Lindenwood,2025-05-02 00:39:00+00:00,Immediate,0.81,3.0
15,2025,Jordan,Smith,WR,New Mexico State,Nicholls,2025-05-12 05:17:00+00:00,Immediate,,2.0
16,2025,Elijah,Kinsler,DL,West Virginia,Southern Miss,2025-04-23 20:24:00+00:00,Immediate,0.84,3.0
17,2025,Christian,Ford,S,Arkansas,Missouri State,2025-04-24 20:05:00+00:00,Immediate,,3.0
18,2025,Brody,Richter,P,UCLA,Minnesota,2025-04-24 17:30:00+00:00,Immediate,,
19,2025,Jordon,Crawford,DL,Hawai'i,Maine,2025-06-01 11:26:00+00:00,Immediate,,
20,2025,Cameron,Monteiro,WR,Pittsburgh,Akron,2025-04-26 17:46:00+00:00,Immediate,0.84,3.0
21,2025,Avion,Carter,DL,TCU,North Texas,2025-04-23 17:56:00+00:00,Immediate,0.83,3.0
22,2025,Carlos,Orr-Gillespie,WR,Illinois,Utah State,2025-04-23 19:34:00+00:00,Immediate,0.85,3.0
23,2025,Trevon,Tate,WR,UT Martin,UTEP,2025-04-24 18:43:00+00:00,Immediate,,
24,2025,Holden,Grieger,OT,Western Illinois,American River C.C.,2025-05-01 05:00:00+00:00,Immediate,,
25,2025,Raleigh,Collins III,S,West Virginia,New Hampshire,2025-06-19 20:54:00+00:00,Immediate,,3.0
26,2025,Jelani,Davis,DL,Southern,Kent State,2025-05-26 05:57:00+00:00,Immediate,0.85,3.0
27,2025,Guiseann,Mirtil,TE,Tulane,Florida A&M,2025-04-22 02:29:00+00:00,Immediate,,3.0
28,2025,Jayme,Simmons,OT,North Alabama,Akron,2025-05-14 14:20:00+00:00,Immediate,0.83,3.0
29,2025,Nathan,Acevedo,WR,Fresno State,San Diego State,2025-06-15 18:32:00+00:00,Immediate,,3.0
30,2025,Jaylen,Booker,OT,Bethune-Cookman,South Alabama,2025-04-24 16:42:00+00:00,Immediate,0.79,2.0
31,2025,Dekel,Crowdus,WR,Hawai'i,Wisconsin,2025-04-25 19:47:00+00:00,Immediate,0.86,3.0
32,2025,Payton,Kirkland,IOL,Colorado,UAB,2025-05-01 05:00:00+00:00,Immediate,0.84,3.0
33,2025,Jordan,Dunbar,CB,Bowling Green,Missouri State,2025-05-02 21:26:00+00:00,Immediate,0.83,3.0
34,2025,Tennel,Bryant,WR,Arkansas State,South Dakota,2025-06-06 15:26:00+00:00,Immediate,,3.0
35,2025,Gaston,Moore,QB,Tennessee,South Florida,2025-07-22 13:07:00+00:00,Immediate,,
36,2025,Donavon,Platt,CB,Army,Virginia,2025-04-19 22:18:00+00:00,Immediate,0.86,3.0
37,2025,Kendrick,Gilbert,DL,Kentucky,Louisville,2025-04-29 01:56:00+00:00,Immediate,0.87,3.0
38,2025,Marquis,Crosby,RB,Louisiana Tech,Oregon State,2025-05-05 17:59:20+00:00,Immediate,0.85,3.0
39,2025,Judah,Mallette,WR,Iowa,Drake,2025-08-01 15:53:00+00:00,Immediate,,
40,2025,Frank,Peasant,RB,Middle Tennessee,Memphis,2025-06-08 04:32:00+00:00,Immediate,0.82,3.0
41,2025,De'Andre,Tamarez,WR,Western Carolina,Marshall,2025-07-02 13:24:00+00:00,Immediate,,
42,2025,Josiah,Kennard,LS,East Texas A&M,James Madison,2024-12-24 17:51:00+00:00,Immediate,,
43,2025,Dennis,Moody,RB,North Texas,North Texas,2025-02-01 17:02:00+00:00,Immediate,,
44,2025,Roy,Alexander,WR,Incarnate Word,Texas Tech,2025-04-24 01:55:00+00:00,Immediate,0.87,3.0
