pff_PLAYID,pff_GAMEID,pff_EXPECTED_POINTS_ADDED,target_name,offense,week,down,quarter,distance,game_clock,completion,yards
6313241,28739,-1.122,Micah Ford,CAST,0,2,1,8,14:26,0,0
6313264,28739,3.294,CJ Williams,CAST,0,3,1,8,14:19,1,16
6313338,28739,-1.086,Sam Roush,CAST,0,2,1,1,13:13,1,0
6313441,28739,-0.17,Sam Roush,CAST,0,1,1,10,10:55,1,3
6313464,28739,0.112,Caden High,CAST,0,3,1,5,9:25,1,4
6313478,28739,0.528,JonAnthony Hall,CAST,0,1,1,10,8:11,0,0
6313505,28739,-0.615,Sam Roush,CAST,0,2,1,5,7:26,0,0
6313514,28739,-1.347,Jordan Onovughe,CAST,0,3,1,5,7:23,0,0
6313730,28739,-1.092,Micah Ford,CAST,0,2,1,8,4:57,0,0
6313739,28739,-0.871,Sam Roush,CAST,0,3,1,8,4:53,0,0
6313904,28739,0.215,Cole Tabb,CAST,0,1,1,10,2:11,1,6
6313999,28739,0.527,JonAnthony Hall,CAST,0,3,2,3,12:35,0,0
6314025,28739,-0.225,CJ Williams,CAST,0,2,2,8,11:55,1,3
6314176,28739,-0.173,Micah Ford,CAST,0,1,2,10,8:37,1,4
6314219,28739,0.673,CJ Williams,CAST,0,1,2,10,7:00,1,11
6314263,28739,-0.728,Sam Roush,CAST,0,2,2,9,3:56,0,0
6314578,28739,-0.95,Sam Roush,CAST,0,1,2,10,0:39,0,0
6314591,28739,0,Micah Ford,CAST,0,2,2,10,0:32,1,-2
6315156,28739,-0.42,Sam Roush,CAST,0,1,3,10,6:18,1,3
6315167,28739,-1.148,CJ Williams,CAST,0,2,3,7,5:33,0,0
6315173,28739,-1.25,Caden High,CAST,0,3,3,7,5:28,0,0
6315304,28739,2.559,Caden High,CAST,0,3,3,5,1:16,1,11
6315311,28739,-0.909,Sedrick Irvin,CAST,0,1,3,10,0:39,0,0
6315326,28739,0.423,Myles Libman,CAST,0,2,3,10,0:32,1,7
6315380,28739,0.306,Marcus Brown,CAST,0,3,4,6,13:05,1,5
6315506,28739,4.067,Chico Holt,CAST,0,3,4,2,7:28,1,36
6315520,28739,-6.058,Jordan Onovughe,CAST,0,1,4,10,6:03,0,0
6315603,28739,-1.141,CJ Williams,CAST,0,2,4,7,1:54,0,0
6315609,28739,-1.173,Jordan Onovughe,CAST,0,3,4,7,1:50,0,0
6309384,28740,-1.151,Eli Green,IAST,0,2,1,6,12:50,0,0
6309420,28740,3.342,Gabe Burkle,IAST,0,3,1,16,10:40,0,0
6309431,28740,-0.602,Jayce Brown,KSST,0,3,1,7,8:40,0,0
