pff_PLAYID,pff_GAMEID,pff_EXPECTED_POINTS_ADDED,target_name,offense,week,down,quarter,distance,game_clock,completion,yards,position,origin,destination
6313264,28739,3.294,CJ Williams,CAST,0,3,1,8,14:19,1,16,WR,Wisconsin,Stanford
6313464,28739,0.112,Caden High,CAST,0,3,1,5,09:25,1,4,WR,South Carolina State,Stanford
6313514,28739,-1.347,Jordan Onovughe,CAST,0,3,1,5,07:23,0,0,WR,Colorado,Stanford
6314025,28739,-0.225,CJ Williams,CAST,0,2,2,8,11:55,1,3,WR,Wisconsin,Stanford
6314219,28739,0.673,CJ Williams,CAST,0,1,2,10,07:00,1,11,WR,Wisconsin,Stanford
6315167,28739,-1.148,CJ Williams,CAST,0,2,3,7,05:33,0,0,WR,Wisconsin,Stanford
6315173,28739,-1.25,Caden High,CAST,0,3,3,7,05:28,0,0,WR,South Carolina State,Stanford
6315304,28739,2.559,Caden High,CAST,0,3,3,5,01:16,1,11,WR,South Carolina State,Stanford
6315520,28739,-6.058,Jordan Onovughe,CAST,0,1,4,10,06:03,0,0,WR,Colorado,Stanford
6315603,28739,-1.141,CJ Williams,CAST,0,2,4,7,01:54,0,0,WR,Wisconsin,Stanford
6315609,28739,-1.173,Jordan Onovughe,CAST,0,3,4,7,01:50,0,0,WR,Colorado,Stanford
6309609,28740,-1.137,Jerand Bradley,KSST,0,1,2,10,10:59,1,-2,WR,Boston College,Kansas State
6309930,28740,-0.908,Xavier Townsend,IAST,0,2,2,9,04:29,0,0,WR,UCF,Iowa State
6309945,28740,-1.157,Jaron Tibbs,KSST,0,2,2,6,03:39,0,0,WR,Purdue,Kansas State
6310016,28740,-0.05,Jaron Tibbs,KSST,0,1,2,10,01:36,1,4,WR,Purdue,Kansas State
6310019,28740,0.494,Jaron Tibbs,KSST,0,2,2,6,01:20,1,7,WR,Purdue,Kansas State
6310349,28740,-0.909,Chase Sowell,IAST,0,1,3,10,13:25,0,0,WR,East Carolina,Iowa State
6310436,28740,0.918,Jerand Bradley,KSST,0,1,3,10,10:38,1,12,WR,Boston College,Kansas State
6310476,28740,-2.347,Jerand Bradley,KSST,0,4,3,9,07:14,0,0,WR,Boston College,Kansas State
6310725,28740,0.421,Jaron Tibbs,KSST,0,2,4,10,14:54,1,7,WR,Purdue,Kansas State
6310823,28740,-0.858,Chase Sowell,IAST,0,1,4,10,13:03,0,0,WR,East Carolina,Iowa State
6310844,28740,-1.377,Chase Sowell,IAST,0,3,4,5,10:13,0,0,WR,East Carolina,Iowa State
6310908,28740,1.499,Jaron Tibbs,KSST,0,2,4,20,09:23,1,17,WR,Purdue,Kansas State
6311034,28740,4.514,Jerand Bradley,KSST,0,1,4,10,06:32,1,65,WR,Boston College,Kansas State
6312641,28741,1.128,Emmanuel Henderson Jr.,KSUN,0,1,1,10,14:55,1,13,WR,Alabama,Kansas
6312673,28741,2.341,Cam Pickett,KSUN,0,1,1,10,11:13,1,21,WR,Ball State,Kansas
6312965,28741,1.278,Cam Pickett,KSUN,0,2,1,7,06:15,1,15,WR,Ball State,Kansas
6313015,28741,0.74,Emmanuel Henderson Jr.,KSUN,0,1,1,25,05:11,1,10,WR,Alabama,Kansas
6313042,28741,1.619,Emmanuel Henderson Jr.,KSUN,0,2,1,15,04:44,0,0,WR,Alabama,Kansas
6313305,28741,1.924,Levi Wentz,KSUN,0,2,2,7,13:16,0,0,WR,Albany,Kansas
6313312,28741,-0.98,Emmanuel Henderson Jr.,KSUN,0,2,2,12,12:32,1,1,WR,Alabama,Kansas
6313347,28741,0.539,Cam Pickett,KSUN,0,1,2,10,08:44,1,13,WR,Ball State,Kansas
6313352,28741,-0.101,Cam Pickett,KSUN,0,2,2,3,07:59,1,10,WR,Ball State,Kansas
6313356,28741,2.161,Cam Pickett,KSUN,0,1,2,10,07:37,1,13,WR,Ball State,Kansas
6313431,28741,1.005,Levi Wentz,KSUN,0,2,2,5,02:29,1,15,WR,Albany,Kansas
